umur_alat,jam_operasional,kondisi_terakhir,jumlah_perbaikan,lokasi_operasi,jenis_alat,label_risiko
6,912,Baik,4,Risiko Rendah,Motor Grader,Risiko Rendah
22,6033,Baik,10,Risiko Tinggi,Dump Truck,Risiko Tinggi
24,4837,Rusak,0,Risiko Rendah,Backhoe Loader,Risiko Tinggi
20,1905,Dalam Perbaikan,9,Risiko Rendah,Dump Truck,Risiko Tinggi
20,5865,Dalam Perbaikan,8,Risiko Sedang,Motor Grader,Risiko Tinggi
12,4827,Rusak,0,Risiko Rendah,Forklift,Risiko Sedang
16,2276,Baik,3,Risiko Sedang,Backhoe Loader,Risiko Tinggi
24,3112,Baik,5,Risiko Sedang,Lainnya,Risiko Tinggi
18,6611,Baik,7,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
14,645,Dalam Perbaikan,4,Risiko Tinggi,Lainnya,Risiko Tinggi
15,4729,Baik,1,Risiko Rendah,Motor Grader,Risiko Tinggi
2,2370,Baik,3,Risiko Rendah,Forklift,Risiko Rendah
18,3714,Dalam Perbaikan,5,Risiko Rendah,Crane,Risiko Tinggi
15,1716,Dalam Perbaikan,4,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
7,5201,Baik,8,Risiko Tinggi,Motor Grader,Risiko Tinggi
21,3786,Rusak,4,Risiko Tinggi,Dump Truck,Risiko Tinggi
19,5608,Rusak,0,Risiko Rendah,Excavator,Risiko Tinggi
1,2584,Rusak,4,Risiko Rendah,Motor Grader,Risiko Rendah
8,7179,Dalam Perbaikan,5,Risiko Rendah,Wheel Loader,Risiko Tinggi
14,7247,Dalam Perbaikan,7,Risiko Rendah,Compactor,Risiko Tinggi
22,2020,Dalam Perbaikan,8,Risiko Tinggi,Compactor,Risiko Tinggi
3,4788,Rusak,9,Risiko Sedang,Crane,Risiko Sedang
19,1133,Dalam Perbaikan,7,Risiko Rendah,Excavator,Risiko Tinggi
23,1252,Dalam Perbaikan,2,Risiko Tinggi,Forklift,Risiko Tinggi
7,520,Rusak,6,Risiko Tinggi,Wheel Loader,Risiko Sedang
10,2059,Dalam Perbaikan,0,Risiko Tinggi,Backhoe Loader,Risiko Rendah
5,7248,Dalam Perbaikan,4,Risiko Tinggi,Crane,Risiko Tinggi
23,2404,Rusak,2,Risiko Sedang,Excavator,Risiko Tinggi
3,7174,Dalam Perbaikan,4,Risiko Tinggi,Bulldozer,Risiko Tinggi
10,7476,Baik,10,Risiko Sedang,Dump Truck,Risiko Tinggi
7,1629,Baik,5,Risiko Rendah,Dump Truck,Risiko Rendah
2,7556,Dalam Perbaikan,0,Risiko Tinggi,Crane,Risiko Tinggi
11,159,Baik,5,Risiko Sedang,Motor Grader,Risiko Rendah
25,1973,Dalam Perbaikan,1,Risiko Rendah,Wheel Loader,Risiko Tinggi
0,566,Dalam Perbaikan,2,Risiko Rendah,Wheel Loader,Risiko Rendah
9,1352,Rusak,8,Risiko Tinggi,Forklift,Risiko Sedang
20,7609,Dalam Perbaikan,3,Risiko Tinggi,Compactor,Risiko Tinggi
14,5502,Dalam Perbaikan,5,Risiko Sedang,Dump Truck,Risiko Tinggi
12,991,Baik,3,Risiko Rendah,Crane,Risiko Rendah
26,4819,Dalam Perbaikan,3,Risiko Tinggi,Motor Grader,Risiko Tinggi
26,581,Dalam Perbaikan,10,Risiko Rendah,Motor Grader,Risiko Tinggi
24,7417,Baik,5,Risiko Rendah,Dump Truck,Risiko Tinggi
19,2281,Dalam Perbaikan,7,Risiko Rendah,Dump Truck,Risiko Tinggi
22,5925,Dalam Perbaikan,9,Risiko Sedang,Motor Grader,Risiko Tinggi
1,3874,Rusak,3,Risiko Rendah,Backhoe Loader,Risiko Sedang
5,3531,Rusak,6,Risiko Sedang,Wheel Loader,Risiko Sedang
3,443,Dalam Perbaikan,10,Risiko Tinggi,Backhoe Loader,Risiko Rendah
25,3298,Dalam Perbaikan,5,Risiko Rendah,Motor Grader,Risiko Tinggi
20,1558,Dalam Perbaikan,7,Risiko Rendah,Forklift,Risiko Tinggi
21,2281,Rusak,3,Risiko Rendah,Wheel Loader,Risiko Tinggi
1,7056,Dalam Perbaikan,1,Risiko Rendah,Dump Truck,Risiko Tinggi
0,120,Baik,3,Risiko Rendah,Forklift,Risiko Rendah
11,3943,Baik,6,Risiko Rendah,Bulldozer,Risiko Sedang
14,17,Rusak,4,Risiko Sedang,Compactor,Risiko Tinggi
13,5706,Dalam Perbaikan,8,Risiko Tinggi,Wheel Loader,Risiko Tinggi
22,1555,Rusak,3,Risiko Rendah,Lainnya,Risiko Tinggi
3,4441,Baik,5,Risiko Rendah,Excavator,Risiko Rendah
8,3905,Dalam Perbaikan,8,Risiko Rendah,Excavator,Risiko Sedang
10,656,Baik,1,Risiko Tinggi,Backhoe Loader,Risiko Rendah
5,7060,Baik,6,Risiko Rendah,Lainnya,Risiko Tinggi
19,4742,Dalam Perbaikan,0,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
13,5385,Dalam Perbaikan,9,Risiko Tinggi,Crane,Risiko Tinggi
18,1673,Dalam Perbaikan,5,Risiko Rendah,Compactor,Risiko Tinggi
14,1072,Dalam Perbaikan,10,Risiko Sedang,Wheel Loader,Risiko Tinggi
16,7610,Baik,0,Risiko Sedang,Lainnya,Risiko Tinggi
